Field	Type	Null	Key	Default	Extra
id	int(11)	NO	PRI	NULL	auto_increment
display_id	int(11)	YES		NULL	
entry_doc_number	int(11)	YES		NULL	
diagnosis_number	int(11)	YES		NULL	
repair_number	int(11)	YES		NULL	
exit_doc_number	int(11)	YES		NULL	
invoice_number	varchar(50)	YES		NULL	
equipment_id	int(11)	NO	MUL	NULL	
client_id	int(11)	NO	MUL	NULL	
owner_name	varchar(255)	YES		NULL	
contact_name	varchar(100)	YES		NULL	
service_type	enum('service','warranty')	YES		service	
assigned_tech_id	int(11)	YES	MUL	NULL	
status	enum('received','diagnosing','pending_approval','in_repair','ready','delivered','cancelled')	YES		received	
payment_status	enum('pendiente','pagado')	NO		pendiente	
problem_reported	text	YES		NULL	
accessories_received	text	YES		NULL	
entry_notes	text	YES		NULL	
entry_date	datetime	YES		NULL	
entry_signature_path	varchar(255)	YES		NULL	
diagnosis_notes	text	YES		NULL	
work_done	text	YES		NULL	
parts_replaced	text	YES		NULL	
final_cost	decimal(10,2)	YES		0.00	
exit_date	datetime	YES		NULL	
exit_signature_path	varchar(255)	YES		NULL	
authorized_by_user_id	int(11)	YES	MUL	NULL	
created_at	timestamp	YES		NULL	
diagnosis_procedure	text	YES		NULL	
diagnosis_conclusion	text	YES		NULL	
